aX,aY,aZ,gX,gY,gZ
-1.040,0.559,2.459,-190.260,37.660,132.720
-1.047,0.720,2.426,-185.430,-18.620,149.310
-1.065,0.806,2.307,-170.240,-51.030,174.020
-1.095,0.702,2.159,-152.600,-70.910,200.620
-1.142,0.536,2.013,-130.480,-81.900,212.170
-1.199,0.323,1.934,-118.090,-95.340,211.890
-1.175,0.108,1.873,-113.610,-104.790,190.610
-1.129,-0.070,1.815,-115.780,-112.490,164.290
-1.070,-0.083,1.725,-121.520,-119.490,138.880
-1.016,0.007,1.677,-128.100,-122.640,120.470
-0.968,0.168,1.616,-144.830,-125.160,118.790
-0.934,0.200,1.559,-153.300,-130.690,120.610
-0.911,0.152,1.444,-166.180,-131.740,121.170
-0.888,0.031,1.378,-178.500,-127.190,115.010
-0.849,-0.061,1.445,-192.710,-120.120,105.700
-0.814,-0.127,1.557,-212.590,-121.030,94.430
-0.805,-0.180,1.673,-214.830,-132.230,83.300
-0.800,-0.261,1.763,-215.390,-173.950,69.650
-0.786,-0.334,1.603,-226.590,-182.070,51.730
-0.782,-0.354,1.403,-241.080,-183.890,32.410
-0.767,-0.349,1.290,-247.940,-178.990,25.830
-0.759,-0.391,1.247,-238.070,-177.730,21.000
-0.728,-0.512,1.246,-223.790,-182.210,-12.810
-0.697,-0.592,1.163,-233.870,-178.640,-26.950
-0.611,-0.508,1.067,-235.130,-164.710,-41.370
-0.537,-0.369,1.098,-257.670,-157.290,-42.420
-0.498,-0.363,1.085,-220.780,-160.650,-38.080
-0.446,-0.408,1.183,-194.530,-171.220,-36.050
-0.418,-0.481,1.190,-182.770,-184.450,-41.090
-0.412,-0.500,1.091,-184.870,-197.960,-47.180
-0.411,-0.508,0.861,-192.570,-196.700,-50.890
-0.395,-0.515,0.733,-186.970,-191.240,-48.370
-0.402,-0.609,0.616,-177.310,-183.050,-52.920
-0.399,-0.724,0.535,-159.880,-171.780,-70.280
-0.342,-0.825,0.613,-147.910,-171.290,-99.400
-0.276,-0.553,0.410,-151.900,-157.500,-86.170
-0.242,-0.504,0.432,-112.490,-143.500,-79.030
-0.222,-0.673,0.575,-95.550,-140.350,-91.630
-0.213,-0.698,0.598,-81.130,-144.270,-110.320
-0.178,-0.478,0.546,-64.400,-147.210,-110.460
-0.127,-0.291,0.408,-49.000,-144.550,-96.530
-0.072,-0.227,0.329,-32.620,-136.360,-79.870
